,correlation_with_rul,slope,r_squared,p_value,degradation_indicator
sensor_1,-0.008977193048470609,-184.85492840496133,8.0589995029509e-05,0.1972637309453583,False
sensor_2,-0.014106343142373492,-426.41718422886834,0.0001989889168503877,0.042750236871804195,False
sensor_3,2.0728368661998325e-16,1.2366717044456886e-27,4.2966526738771435e-32,0.9999999999999762,False
sensor_4,-0.016035456398409326,-0.07480444680514906,0.0002571358619052866,0.021264187183939014,False
sensor_5,0.017427004173933055,51.80358778356888,0.00030370047447828013,0.012308802390011392,False
sensor_6,-0.014397947941309445,-3.4325642691531337,0.00020730090492065682,0.03863715803628004,False
sensor_7,0.005096088961319351,377.95601890767335,2.597012270168094e-05,0.4642070794526073,False
sensor_8,,0.0,,,False
sensor_9,-0.011430422914713573,-10.253314041909093,0.00013065456800920913,0.10063924998924506,False
sensor_10,0.010422336500833579,25.817079827456457,0.00010862509813660795,0.13440320516854645,False
sensor_11,-0.01838846318605488,-4.441576305297825,0.0003381355783448956,0.00825911534446643,False
sensor_12,0.006399338193494293,409.991586398271,4.095152931471481e-05,0.35803157274943576,False
sensor_13,-0.0159595162788769,-2.0102862179987793,0.0002547061598557369,0.021885369836869013,False
sensor_14,2.0728368661998325e-16,9.661497690981942e-30,4.2966526738771435e-32,0.9999999999999762,False
sensor_15,-0.0115862467895113,-60.26654690957255,0.00013424111466746094,0.09608344766434772,False
sensor_16,,0.0,,,False
sensor_17,,0.0,,,False
sensor_18,0.009714102731158702,5.8968621701853605,9.436379187150498e-05,0.1629455664219386,False
sensor_19,0.0060222246669796396,2.189459568690294,3.626718993957804e-05,0.38706217373417195,False
